年	国家	次数
2006	埃塞俄比亚	363
2006	埃及	4267
2006	坦桑尼亚	498
2006	喀麦隆	452
2006	南非	6926
2006	加纳	321
2006	乌干达	400
2007	阿尔及利亚	1663
2007	肯尼亚	1108
2007	突尼斯	2540
2007	摩洛哥	1515
2007	尼日利亚	2051
2007	埃塞俄比亚	460
2007	埃及	5057
2007	坦桑尼亚	586
2007	喀麦隆	539
2007	南非	8101
2007	加纳	425
2007	乌干达	566
2008	阿尔及利亚	2033
2008	肯尼亚	1186
2008	突尼斯	3016
2008	摩洛哥	1636
2008	尼日利亚	2535
2008	埃塞俄比亚	474
2008	埃及	5482
2008	坦桑尼亚	589
2008	喀麦隆	600
2008	南非	8893
2008	加纳	456
2008	乌干达	596
2009	阿尔及利亚	2333
2009	肯尼亚	1307
2009	突尼斯	3664
2009	摩洛哥	1782
2009	尼日利亚	2826
2009	埃塞俄比亚	593
2009	埃及	6653
2009	坦桑尼亚	688
2009	喀麦隆	651
2009	南非	9854
2009	加纳	562
2009	乌干达	738
2010	阿尔及利亚	2216
2010	肯尼亚	1429
2010	突尼斯	3693
2010	摩洛哥	1190
2010	尼日利亚	2980
2010	埃塞俄比亚	658
2010	埃及	7138
2010	坦桑尼亚	748
2010	喀麦隆	707
2010	南非	10157
2010	加纳	623
2010	乌干达	916
2011	阿尔及利亚	2500
2011	肯尼亚	1595
2011	突尼斯	3892
2011	摩洛哥	1271
2011	尼日利亚	2853
2011	埃塞俄比亚	762
2011	埃及	8208
2011	坦桑尼亚	764
2011	喀麦隆	685
2011	南非	11637
2011	加纳	639
2011	乌干达	900
2012	阿尔及利亚	3133
2012	肯尼亚	1661
2012	突尼斯	4211
2012	摩洛哥	2358
2012	尼日利亚	2780
2012	埃塞俄比亚	843
2012	埃及	9316
2012	坦桑尼亚	792
2012	喀麦隆	734
2012	南非	13577
2012	加纳	750
2012	乌干达	989
2013	阿尔及利亚	3642
2013	肯尼亚	1780
2013	突尼斯	5067
2013	摩洛哥	1561
2013	尼日利亚	2943
2013	埃塞俄比亚	1072
2013	埃及	10417
2013	坦桑尼亚	956
2013	喀麦隆	814
2013	南非	14032
2013	加纳	954
2013	乌干达	1099
2014	阿尔及利亚	4075
2014	肯尼亚	2079
2014	突尼斯	5608
2014	摩洛哥	2611
2014	尼日利亚	3431
2014	埃塞俄比亚	1224
2014	埃及	11777
2014	坦桑尼亚	1084
2014	喀麦隆	988
2014	南非	15330
2014	加纳	961
2014	乌干达	1104
2015	阿尔及利亚	4711
2015	肯尼亚	2125
2015	突尼斯	6205
2015	摩洛哥	3170
2015	尼日利亚	3356
2015	埃塞俄比亚	1408
2015	埃及	13025
2015	坦桑尼亚	1186
2015	喀麦隆	971
2015	南非	16246
2015	加纳	1216
2015	乌干达	1242
2016	阿尔及利亚	4825
2016	肯尼亚	2346
2016	突尼斯	6723
2016	摩洛哥	3781
2016	尼日利亚	3670
2016	埃塞俄比亚	1514
2016	埃及	14492
2016	坦桑尼亚	1134
2016	喀麦隆	1024
2016	南非	17495
2016	加纳	1187
2016	乌干达	1392
