年	国家	次数
1984	布隆迪	16
1984	安哥拉	3
1984	利比里亚	27
1984	乍得	1
1985	莱索托	10
1985	索马里	10
1985	斯威士兰	7
1985	布隆迪	17
1985	塞舌尔	2
1985	利比里亚	23
1985	乍得	1
1986	莱索托	9
1986	索马里	15
1986	布隆迪	8
1986	安哥拉	3
1986	塞舌尔	2
1986	利比里亚	9
1987	莱索托	10
1987	索马里	21
1987	斯威士兰	8
1987	布隆迪	18
1987	安哥拉	5
1987	塞舌尔	4
1987	利比里亚	7
1987	佛得角	1
1987	乍得	1
1988	莱索托	6
1988	索马里	22
1988	斯威士兰	6
1988	布隆迪	19
1988	安哥拉	6
1988	塞舌尔	1
1988	利比里亚	12
1988	乍得	2
1989	莱索托	6
1989	索马里	30
1989	斯威士兰	12
1989	布隆迪	20
1989	吉布提	3
1989	利比里亚	12
1989	几内亚比绍	4
1989	乍得	1
1990	莱索托	7
1990	索马里	16
1990	斯威士兰	6
1990	布隆迪	10
1990	安哥拉	5
1990	吉布提	9
1990	利比里亚	13
1990	几内亚比绍	7
1990	乍得	2
1991	莱索托	13
1991	索马里	18
1991	斯威士兰	11
1991	布隆迪	18
1991	安哥拉	5
1991	塞舌尔	3
1991	吉布提	2
1991	利比里亚	18
1991	几内亚比绍	9
1991	佛得角	2
1991	乍得	3
1992	莱索托	3
1992	索马里	14
1992	斯威士兰	9
1992	布隆迪	12
1992	安哥拉	9
1992	塞舌尔	5
1992	吉布提	4
1992	利比里亚	10
1992	几内亚比绍	7
1992	佛得角	2
1992	乍得	1
1993	莱索托	13
1993	索马里	10
1993	斯威士兰	11
1993	布隆迪	16
1993	安哥拉	9
1993	塞舌尔	4
1993	吉布提	5
1993	利比里亚	4
1993	几内亚比绍	10
1993	佛得角	3
1993	乍得	9
1994	莱索托	11
1994	索马里	15
1994	斯威士兰	11
1994	布隆迪	31
1994	安哥拉	6
1994	塞舌尔	5
1994	吉布提	4
1994	厄立特里亚	2
1994	利比里亚	4
1994	几内亚比绍	12
1994	乍得	2
1995	莱索托	9
1995	索马里	5
1995	斯威士兰	13
1995	布隆迪	20
1995	安哥拉	10
1995	塞舌尔	21
1995	吉布提	3
1995	厄立特里亚	1
1995	利比里亚	1
1995	几内亚比绍	8
1995	佛得角	1
1995	乍得	8
1996	莱索托	6
1996	索马里	2
1996	斯威士兰	12
1996	布隆迪	21
1996	安哥拉	3
1996	塞舌尔	10
1996	吉布提	1
1996	厄立特里亚	6
1996	利比里亚	4
1996	几内亚比绍	12
1996	佛得角	2
1996	乍得	3
1997	莱索托	6
1997	斯威士兰	12
1997	布隆迪	29
1997	安哥拉	12
1997	塞舌尔	6
1997	吉布提	4
1997	厄立特里亚	4
1997	利比里亚	1
1997	几内亚比绍	15
1997	佛得角	1
1997	乍得	7
1998	莱索托	3
1998	索马里	1
1998	斯威士兰	16
1998	布隆迪	6
1998	安哥拉	6
1998	塞舌尔	15
1998	吉布提	3
1998	厄立特里亚	17
1998	利比里亚	2
1998	几内亚比绍	11
1998	佛得角	1
1998	乍得	7
1999	莱索托	10
1999	索马里	1
1999	斯威士兰	11
1999	布隆迪	15
1999	安哥拉	11
1999	塞舌尔	11
1999	吉布提	3
1999	厄立特里亚	12
1999	利比里亚	1
1999	几内亚比绍	20
1999	佛得角	2
1999	乍得	9
2000	莱索托	8
2000	索马里	1
2000	斯威士兰	7
2000	布隆迪	4
2000	安哥拉	15
2000	塞舌尔	14
2000	厄立特里亚	11
2000	几内亚比绍	12
2000	佛得角	1
2000	乍得	10
2001	莱索托	11
2001	斯威士兰	16
2001	布隆迪	8
2001	安哥拉	13
2001	塞舌尔	10
2001	吉布提	1
2001	厄立特里亚	19
2001	利比里亚	3
2001	几内亚比绍	16
2001	佛得角	1
2001	乍得	12
2002	莱索托	6
2002	索马里	1
2002	斯威士兰	14
2002	布隆迪	5
2002	安哥拉	12
2002	塞舌尔	10
2002	吉布提	1
2002	厄立特里亚	27
2002	利比里亚	5
2002	几内亚比绍	21
2002	乍得	12
2003	莱索托	6
2003	斯威士兰	18
2003	布隆迪	13
2003	安哥拉	7
2003	塞舌尔	18
2003	吉布提	1
2003	厄立特里亚	19
2003	利比里亚	2
2003	几内亚比绍	21
2003	佛得角	4
2003	乍得	12
2004	莱索托	6
2004	索马里	1
2004	斯威士兰	10
2004	布隆迪	8
2004	安哥拉	10
2004	塞舌尔	9
2004	吉布提	3
2004	厄立特里亚	24
2004	利比里亚	5
2004	几内亚比绍	20
2004	佛得角	2
2004	乍得	7
2005	莱索托	5
2005	斯威士兰	25
2005	布隆迪	11
2005	安哥拉	20
2005	塞舌尔	16
2005	吉布提	2
2005	厄立特里亚	30
2005	利比里亚	8
2005	几内亚比绍	25
2005	佛得角	1
2005	乍得	24
2006	莱索托	19
2006	索马里	3
2006	斯威士兰	18
2006	布隆迪	6
2006	安哥拉	15
2006	塞舌尔	26
2006	吉布提	2
2006	厄立特里亚	37
2006	利比里亚	6
2006	几内亚比绍	19
2006	佛得角	8
2006	乍得	28
2007	莱索托	14
2007	斯威士兰	26
2007	布隆迪	16
2007	安哥拉	20
2007	塞舌尔	36
2007	吉布提	3
2007	厄立特里亚	37
2007	利比里亚	1
2007	几内亚比绍	30
2007	佛得角	3
2007	乍得	13
2008	莱索托	22
2008	索马里	1
2008	斯威士兰	23
2008	布隆迪	8
2008	安哥拉	25
2008	塞舌尔	27
2008	吉布提	2
2008	厄立特里亚	18
2008	利比里亚	6
2008	几内亚比绍	22
2008	佛得角	5
2008	乍得	14
2009	莱索托	31
2009	索马里	3
2009	斯威士兰	35
2009	布隆迪	12
2009	安哥拉	46
2009	塞舌尔	26
2009	吉布提	7
2009	厄立特里亚	21
2009	利比里亚	5
2009	几内亚比绍	27
2009	佛得角	15
2009	乍得	21
2010	莱索托	29
2010	索马里	3
2010	斯威士兰	61
2010	布隆迪	31
2010	安哥拉	39
2010	塞舌尔	25
2010	吉布提	8
2010	厄立特里亚	17
2010	利比里亚	14
2010	几内亚比绍	25
2010	佛得角	16
2010	乍得	12
2011	莱索托	27
2011	索马里	4
2011	斯威士兰	52
2011	布隆迪	23
2011	安哥拉	35
2011	塞舌尔	34
2011	吉布提	9
2011	厄立特里亚	25
2011	利比里亚	14
2011	几内亚比绍	29
2011	佛得角	7
2011	乍得	22
2012	莱索托	29
2012	索马里	4
2012	斯威士兰	46
2012	布隆迪	20
2012	安哥拉	47
2012	塞舌尔	39
2012	吉布提	9
2012	厄立特里亚	5
2012	利比里亚	16
2012	几内亚比绍	35
2012	佛得角	12
2012	乍得	20
2013	莱索托	30
2013	索马里	7
2013	斯威士兰	52
2013	布隆迪	35
2013	安哥拉	51
2013	塞舌尔	50
2013	吉布提	12
2013	厄立特里亚	23
2013	利比里亚	20
2013	几内亚比绍	43
2013	佛得角	23
2013	乍得	19
2014	莱索托	35
2014	索马里	15
2014	斯威士兰	40
2014	布隆迪	32
2014	安哥拉	71
2014	塞舌尔	39
2014	吉布提	17
2014	厄立特里亚	25
2014	利比里亚	26
2014	几内亚比绍	48
2014	佛得角	32
2014	乍得	31
2015	莱索托	34
2015	索马里	15
2015	斯威士兰	64
2015	布隆迪	45
2015	安哥拉	93
2015	塞舌尔	48
2015	吉布提	11
2015	厄立特里亚	27
2015	利比里亚	61
2015	几内亚比绍	47
2015	佛得角	31
2015	乍得	36
2016	莱索托	34
2016	索马里	11
2016	斯威士兰	71
2016	布隆迪	44
2016	安哥拉	90
2016	塞舌尔	53
2016	吉布提	16
2016	厄立特里亚	22
2016	利比里亚	65
2016	几内亚比绍	58
2016	佛得角	34
2016	乍得	42
